"Sep09","Oct09","Nov09","Dec09","Jan10","Feb10","Mars10","Apr10","May10","June10","Aug10","Sep10","Oct10","Nov10","Dec10","Jan11","Feb11","Mars11","Apr11","May11","June11"
2446,525,1426,1735,39,1,122,0.005,498,2652,960,1679,1646,2367,1594,362,11,0.005,0.005,0.005,86
13,160,1989,605,1437,1126,0.005,13,85,120,156,371,285,84,272,476,435,496,1144,3171,34
244,113,165,173,1503,675,2092,31,112,136,328,98,243,388,800,1455,1106,33,44,929,123
0.005,0.005,0.005,0.005,161,40,477,4294,298,0.005,0.005,0.005,0.005,47,128,140,159,2020,373,0.005,0.005
0.005,0.005,0.005,21,414,1035,280,564,520,0.005,0.005,0.005,0.005,0.005,0.005,756,925,1081,2097,0.005,187
326,217,55,35,214,762,0.005,0.005,117,150,161,217,29,38,160,366,137,425,662,1086,2308
0.005,0.005,0.005,0.005,0.005,73,842,145,189,0.005,0.005,0.005,0.005,11,238,611,729,1257,1056,0.005,0.005
9,176,142,64,31,1,79,457,2732,34,5,1,22,106,199,169,28,6,5,53,4
280,402,803,923,0.005,0.005,0.005,0.005,189,57,413,306,882,329,265,0.005,0.005,0.005,0.005,0.005,0.005
0.005,0.005,0.005,0.005,151,0.005,208,0.005,0.005,243,164,488,146,241,414,181,0.005,0.005,0.005,0.005,1544
766,482,497,170,0.005,0.005,181,0.005,38,274,269,0.005,353,176,77,42,216,0.005,0.005,0.005,0.005
0.005,0.005,0.005,105,48,150,0.005,0.005,84,0.005,0.005,0.005,17,142,125,42,1163,0.005,0.005,154,0.005
155,725,114,470,20,0.005,0.005,0.005,0.005,68,109,166,119,171,53,16,0.005,0.005,0.005,0.005,0.005
0.005,0.005,9,0.005,412,751,573,0.005,0.005,53,0.005,0.005,0.005,0.005,42,152,140,5,0.005,1,262
28,622,46,98,466,292,16,0.005,0.005,0.005,7,28,26,5,68,97,21,0.005,0.005,0.005,34
30,69,3,31,0.005,0.005,0.005,0.005,0.005,0.005,183,214,548,140,15,93,178,5,4,0.005,0.005
86,0.005,28,482,36,0.005,0.005,0.005,0.005,17,107,64,183,14,82,164,0.005,0.005,0.005,0.005,104
222,161,0.005,293,0.005,15,0.005,0.005,0.005,0.005,110,94,187,251,24,5,0.005,2,8,0.005,0.005
0.005,6,3,20,0.005,0.005,19,0.005,4,49,357,417,0.005,37,43,40,60,0.005,0.005,0.005,0.005
54,11,0.005,0.005,0.005,0.005,0.005,0.005,33,626,225,91,28,184,8,0.005,0.005,0.005,0.005,0.005,0.005
